"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost","Cyphastrea.Submassive"
"NMP11","Pre",113.76328,-23.20838,3,"Maud RZ2",24.02985859,1.833654975,1635.58225,1064.09797,2033.823027,175.0452385,279.3650549,1,17.9032839,5.325835733,1.870009558,687.84036,40.75,288,4.45,26.64089584,0,0,2012,2017.9,5.9,"Pre_3",1
"NMP2","Post",113.75562,-23.12142,3,"Point Maud Inner",24.11945502,1.847096814,1876.691976,1430.183333,2519.914164,241.520576,301.8657144,2,14.40990746,4.738977451,1.558434388,647.5848743,43.75,288,3.56666666666667,26.75812721,0,2.68999994,2012,2017,5,"Post_3",0.666666666666667
"NMP21","Post",113.76709,-23.14221,3,"Coral Bay (Sanctuary zone)",24.11945502,1.847096814,1724.519245,1199.581372,2198.89237,193.665246,280.8758984,2,17.96217474,5.52659537,1.913034493,647.5848743,43.75,288,1.65,26.75812721,0,2.68999994,2015,2019,4,"Post_3",0.55
"NMP6","Post",113.75875,-23.16108,3,"Monck Head Outer",24.07359584,1.840379556,1724.519245,1199.581372,2198.89237,193.665246,280.8758984,2,17.96217474,5.52659537,1.913034493,687.84036,40.75,288,3.05,26.69993591,0,2.619999941,2012,2018.1,6.1,"Post_3",0.5
"NWS101","Post",119.38393,-17.35516,6,"Clerke Reef - BnB",27.66717466,1.644299541,728.9065276,503.1177272,1243.777271,210.837449,58.46168422,1,8.717504138,2.898027243,1.03818331,0.408376679,64,0,6.25,29.68076134,6.939999845,2.919999935,2013,2018,5,"Post_6",1
"NWS13","Pre",123.3271,-11.9834,7,"Golden Sleeper Corner",28.40088781,1.114160786,1141.741996,628.4476708,1756.922081,272.48673,97.98739987,1,13.67891054,5.783206694,1.401453677,0,77.25,0,7.7,29.41734123,0,0,2013,2019,6,"Pre_7",0.333333333333333
"NWS16","Pre",122.98389,-12.23963,5,"Guardian Reef",28.40063477,1.139673876,988.45822,705.4917908,1339.863554,165.8899613,70.54717867,1,15.26410838,6.137437282,1.582676164,2.298197619,110.5,0,6.5,29.45423889,0,0,2013,2018,5,"Pre_5",1
"NWS19","Pre",122.98329,-12.24054,5,"Grand Oculis Bommie",28.3982192585714,1.13887572728571,976.895491628571,708.2966861,1337.89369114286,168.515624614286,68.4212455242857,1.28571428571429,15.0583090642857,6.07144791657143,1.55981856714286,2.298197619,110.5,0,5,29.4504406778571,0,0,2013,2019,6,"Pre_5",1
"NWS20","Pre",123.00182,-12.24414,5,"Flat's Edge",28.39436054,1.138449574,1002.576945,734.5563558,1379.798741,172.8525319,68.84402209,2,14.84333247,5.983479727,1.537292248,2.298197619,110.5,0,3,29.44476509,0,0,2013,2018,5,"Pre_5",1
"NWS21","Pre",122.99881,-12.24405,5,"Hemiplage Bommie",28.40063477,1.139673876,1002.576945,734.5563558,1379.798741,172.8525319,68.84402209,2,14.84333247,5.983479727,1.537292248,2.298197619,110.5,0,4.5,29.45423889,0,0,2013,2018,5,"Pre_5",1
"NWS22","Post",122.9864,-12.24109,5,"Dotty Reef",28.3982192585714,1.13887572728571,976.895491628571,708.2966861,1337.89369114286,168.515624614286,68.4212455242857,1.28571428571429,15.0583090642857,6.07144791657143,1.55981856714286,2.298197619,110.5,0,4.75,29.4504406778571,13.6214282707143,2.28428566328571,2013,2018,5,"Post_5",0.5
"NWS22","Pre",122.9864,-12.24109,5,"Dotty Reef",28.3982192585714,1.13887572728571,976.895491628571,708.2966861,1337.89369114286,168.515624614286,68.4212455242857,1.28571428571429,15.0583090642857,6.07144791657143,1.55981856714286,2.298197619,110.5,0,4.75,29.4504406778571,0,0,2013,2018,5,"Pre_5",1
"NWS29","Pre",121.94546,-14.12668,6,"Moray Bommie",28.40611617,1.227207487,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,2,12.96189967,4.737887816,1.506020503,0.207421817,190.25,0,6,29.60219574,0,0,2013,2018,5,"Pre_6",1
"NWS32","Post",121.96473,-14.10934,6,"Goby Heaven",28.40707811,1.225914721,733.8958265,548.3968111,1217.152517,171.3683331,69.05224247,1,12.99032652,4.754008562,1.513796234,0,91,0,4.55,29.5979805,16.53999963,2.469999945,2013,2018,5,"Post_6",0.5
"NWS35","Post",121.95083,-14.0717,6,"Ian's Anchorage",28.40703996,1.224907961,726.301405,546.5467576,1141.820709,163.5952461,69.97916394,2,13.07852333,4.770122141,1.51066147,0,91,0,6.5,29.60144806,16.55999963,2.489999944,2013,2018,5,"Post_6",0.5
"NWS36","Post",121.78767,-14.0747,7,"Fungiid Fields",28.41229884,1.229314651,744.3641214,499.2432743,1096.230722,149.0994289,62.34467081,1,13.01607329,4.71539365,1.493219216,0.207421817,181.75,0,9,29.62756729,15.88999964,2.579999942,2013,2018,5,"Post_7",0.5
"NWS4","Pre",123.3794,-11.969,6,"Titan Reef",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,6.75,29.42552948,0,0,2013,2019,6,"Pre_6",0.5
"NWS40","Post",121.742,-14.0785,6,"Stern Trawler Reef",28.41577911,1.230057578,765.4158053,526.5024797,1071.635212,147.7658211,67.44436489,1,13.74928106,4.930263874,1.569154153,0.207421817,99.5,0,1.75,29.6346283,15.96999964,2.649999941,2013,2018,5,"Post_6",0.5
"NWS54","Post",118.9369,-17.5804,6,"Imperieuse east lagoon",27.549215,1.648324549,790.686024,519.6924274,1237.512411,214.7264227,58.48175713,1,9.761251721,3.229638167,1.112998032,0.203901616,66,0,1.5,29.62799454,1.879999958,2.939999934,2013,2018,5,"Post_6",0.5
"NWS54","Pre",118.9369,-17.5804,6,"Imperieuse east lagoon",27.549215,1.648324549,790.686024,519.6924274,1237.512411,214.7264227,58.48175713,1,9.761251721,3.229638167,1.112998032,0.203901616,66,0,1.5,29.62799454,0,0,2013,2018,5,"Pre_6",2.5
"NWS55","Post",118.97193,-17.56991,6,"Imperieuse East",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4.5,29.62473679,2.819999937,2.999999933,2013,2018,5,"Post_6",0.5
"NWS55","Pre",118.97193,-17.56991,6,"Imperieuse East",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4.5,29.62473679,0,0,2013,2018,5,"Pre_6",1
"NWS56","Pre",118.9747,-17.6102,7,"Imperieuse Reef Rage",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,7.75,29.63270569,0,0,2013,2018,5,"Pre_7",1
"NWS6","Pre",123.38116,-11.97448,6,"Hibernia Lagoon SE2",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,4.5,29.42552948,0,0,2013,2019,6,"Pre_6",0.5
"NWS61","Pre",118.9724,-17.5582,6,"Imperieuse edge RS3-3",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,5.5,29.62473679,0,0,2013,2018,5,"Pre_6",0.5
"NWS62","Pre",118.96635,-17.50713,7,"Imperieuse anchorage",27.56295745,1.641871558,762.6808138,506.3384003,1206.171079,207.3773779,53.60743457,1,9.773905588,3.237830082,1.120452608,0.203901616,66,0,16,29.6199913,0,0,2013,2018,5,"Pre_7",1
"NWS63","Pre",118.96276,-17.50218,6,"Imperieuse north",27.56295745,1.641871558,758.6835872,523.2802778,1189.312754,199.8333659,53.88886034,0,10.01854769,3.329221436,1.14958506,0.203901616,66,0,6,29.6199913,0,0,2013,2018,5,"Pre_6",0.5
"NWS64","Pre",118.94214,-17.56045,6,"Imperieuse north lagoon",27.549215,1.648324549,790.686024,519.6924274,1237.512411,214.7264227,58.48175713,1,9.761251721,3.229638167,1.112998032,0.203901616,66,0,1.75,29.62799454,0,0,2013,2018,5,"Pre_6",0.5
"NWS66","Pre",119.6539,-17.0764,7,"Mermaid anchorage dropoff 1.3",27.81275129,1.612100458,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,12,29.76688004,0,0,2013,2018,5,"Pre_7",0.333333333333333
"NWS69","Post",119.6494,-17.0658,7,"Mermaid anchorage dropoff 1.1",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,13.5,29.75201416,7.429999834,2.799999937,2013,2018,5,"Post_7",0.95
"NWS69","Pre",119.6494,-17.0658,7,"Mermaid anchorage dropoff 1.1",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,13.5,29.75201416,0,0,2013,2018,5,"Pre_7",1.5
"NWS7","Pre",123.3586,-11.9671,5,"Big Fish Gulch",28.40379763,1.116002315,1141.741996,628.4476708,1756.922081,272.48673,97.98739987,1,13.67891054,5.783206694,1.401453677,0,95,0,5.75,29.42552948,0,0,2013,2019,6,"Pre_5",0.5
"NWS71","Pre",119.6311,-17.15365,6,"Mermaid S bommie",27.77010806,1.627083391,857.7856391,556.4559093,1339.573627,215.785391,81.11351859,1,8.798316723,2.932212345,1.069263485,0,57,0,6,29.75576591,0,0,2013,2018,5,"Pre_6",0.5
"NWS72","Pre",119.64617,-17.0754,7,"Mermaid Reef Lagoon Dragon",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,10,29.75201416,0,0,2013,2018,5,"Pre_7",1
"NWS73","Post",119.64167,-17.06644,6,"Mermaid channel mid bank",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,4.5,29.75201416,7.429999834,2.799999937,2013,2018,5,"Post_6",0.55
"NWS73","Pre",119.64167,-17.06644,6,"Mermaid channel mid bank",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,4.5,29.75201416,0,0,2013,2018,5,"Pre_6",0.5
"NWS75","Post",119.6148,-17.08687,6,"Mermaid west lagoon",27.8013471,1.609731619,714.7789271,487.5781383,1136.316134,193.3283437,57.54107263,1,9.431106443,3.141714455,1.139181622,0,57,0,6,29.75201416,7.429999834,2.799999937,2013,2018,5,"Post_6",0.35
"NWS76","Pre",119.63474,-17.11469,6,"Mermaid central bommie",27.78543727,1.618182504,883.1272295,598.6444996,1305.704586,194.0943641,76.1409837,1,9.020377053,3.003535343,1.095140048,0,57,0,5.5,29.754179,0,0,2013,2018,5,"Pre_6",1
"NWS77","Pre",119.64815,-17.06202,7,"Mermaid Reef Cod Hole",27.8013471,1.609731619,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,13.5,29.75201416,0,0,2013,2018,5,"Pre_7",0.5
"NWS79","Post",119.6533,-17.0721,7,"Mermaid dropoff 1.2",27.81275129,1.612100458,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,7.5,29.76688004,7.61999983,2.829999937,2013,2018,5,"Post_7",0.5
"NWS79","Pre",119.6533,-17.0721,7,"Mermaid dropoff 1.2",27.81275129,1.612100458,782.6216491,541.5230078,1174.389569,188.8632777,58.35774171,1,9.242437383,3.07485834,1.12101661,0,57,0,7.5,29.76688004,0,0,2013,2018,5,"Pre_7",0.5
"NWS8","Post",123.36079,-11.97908,5,"Hibernia Lagoon South",28.40379763,1.116002315,1141.741996,628.4476708,1756.922081,272.48673,97.98739987,1,13.67891054,5.783206694,1.401453677,0,95,0,5.5,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_5",0.45
"NWS81","Post",119.61792,-17.02767,7,"Mermaid North M1",27.81783597,1.60163414,784.420216,490.8931236,1213.944331,212.8160163,70.37681959,0,9.659595716,3.217297673,1.165684923,0,57,0,8.5,29.75001907,7.879999824,2.819999937,2013,2018,5,"Post_7",0.5
"NWS81","Pre",119.61792,-17.02767,7,"Mermaid North M1",27.81783597,1.60163414,784.420216,490.8931236,1213.944331,212.8160163,70.37681959,0,9.659595716,3.217297673,1.165684923,0,57,0,8.5,29.75001907,0,0,2013,2018,5,"Pre_7",0.5
"NWS82","Pre",119.5962,-17.0762,6,"Mermaid west dropoff M4",27.7917366,1.607250576,714.7789271,487.5781383,1136.316134,193.3283437,57.54107263,1,9.431106443,3.141714455,1.139181622,0,57,0,6.5,29.73923492,0,0,2013,2018,5,"Pre_6",0.5
"NWS83","Post",119.35201,-17.24607,7,"Clerke North C1B",27.70641931,1.622233168,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68066597,7.359999835,2.759999938,2013,2018,5,"Post_7",0.5
"NWS83","Pre",119.35201,-17.24607,7,"Clerke North C1B",27.70641931,1.622233168,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68066597,0,0,2013,2018,5,"Pre_7",0.5
"NWS84","Post",119.34713,-17.24612,7,"Clerke North Point",27.70120049,1.620297508,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68140221,6.999999844,2.779999938,2013,2018,5,"Post_7",0.5
"NWS84","Pre",119.34713,-17.24612,7,"Clerke North Point",27.70120049,1.620297508,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,55.25,0,8,29.68140221,0,0,2013,2018,5,"Pre_7",0.5
"NWS86","Post",119.35929,-17.2909,6,"Clerke anchorage dropoff 2.1",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,6.5,29.67437172,6.899999846,2.749999939,2013,2018,5,"Post_6",1.45
"NWS86","Pre",119.35929,-17.2909,6,"Clerke anchorage dropoff 2.1",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,6.5,29.67437172,0,0,2013,2018,5,"Pre_6",0.5
"NWS87","Pre",119.3769,-17.2843,6,"Clerke Anchorage Dropoff 2.2",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6,29.67437172,0,0,2013,2018,5,"Pre_6",1.5
"NWS88","Post",119.3775,-17.288,6,"Clerke anchorage dropoff 2.3",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6.5,29.67437172,6.899999846,2.749999939,2013,2018,5,"Post_6",2
"NWS88","Pre",119.3775,-17.288,6,"Clerke anchorage dropoff 2.3",27.69127162,1.629373344,715.6625445,498.0946801,1200.993112,206.998631,56.94927474,1,9.1558746,3.046846267,1.08780711,0.408376679,64,0,6.5,29.67437172,0,0,2013,2018,5,"Pre_6",1.55
"NWS89","Pre",119.36037,-17.25302,7,"Blue lagoon",27.69127162,1.629373344,696.7524028,452.7531148,1182.118162,203.6871141,57.01844201,1,9.57255786,3.189231655,1.131364166,0.408376679,64,0,18,29.67437172,0,0,2013,2018,5,"Pre_7",2
"NWS9","Pre",123.3356,-11.9685,7,"Spur and Groove Reef",28.40088781,1.114160786,1260.8574952,652.67313908,1926.3862314,295.31618442,110.162286976,0.8,13.733716814,5.799917061,1.4055176476,0,77.25,0,7.5,29.41734123,0,0,2013,2019,6,"Pre_7",1
"NWS94","Pre",119.3675,-17.31065,6,"Clerke west C12",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,5.75,29.67575073,0,0,2013,2018,5,"Pre_6",0.5
"NWS95","Pre",119.3675,-17.31065,6,"Clerke lagoon bommie C13",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,5,29.67575073,0,0,2013,2018,5,"Pre_6",1
"NWS96","Post",119.3605,-17.31882,6,"South Lagoon bommie C21",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,4.5,29.67575073,6.839999847,2.839999937,2013,2018,5,"Post_6",0.4
"NWS96","Pre",119.3605,-17.31882,6,"South Lagoon bommie C21",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",3.9
"NWS97","Pre",119.3675,-17.3155,6,"Clerke south lagoon C25",27.67829307,1.636776196,776.5684611,507.7714786,1304.367217,239.1575664,80.63738521,2,9.064157296,3.004230407,1.070083436,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",1
"NWS98","Pre",119.37064,-17.30694,6,"Clerke lagoon east C20",27.67829307,1.636776196,723.8672212,502.4603922,1224.85097,209.4464348,58.46504853,1,8.911812465,2.960841865,1.059117527,0.408376679,64,0,3,29.67575073,0,0,2013,2018,5,"Pre_6",0.8
"NWS99","Pre",119.35929,-17.2909,6,"Clerke lagoon NW bommie C29",27.69127162,1.629373344,735.06261,487.2361518,1216.322032,207.1345137,61.52807904,1,9.318357578,3.096731031,1.100723801,0.408376679,64,0,2.5,29.67437172,0,0,2013,2018,5,"Pre_6",1.5
"WA86","Pre",123.0338,-16.41926,5,"Gundanin Headland",27.96592013,1.9520062825,2573.406706,1780.55898,3631.919498,437.713128,263.2308941,2,0.452437578,0.3538679475,0.0830840345,268.8378402,52.25,654,4,29.97663498,0,0,2010,2018,8,"Pre_5",1
"WA87","Pre",123.03509,-16.39654,7,"One tree reef S",27.96984116,1.928749252,2573.406706,1780.55898,3631.919498,437.713128,263.2308941,2,0.023973716,0.025636392,0.005285348,268.8378402,52.25,654,8,29.97140694,0,0,2010,2018,8,"Pre_7",0.25
