site_code,pre_post,longitude,latitude,cluster,site_name,Acanthastrea.Submassive,Acropora.Arborescent.table,Acropora.Bottlebrush,Acropora.Branching,Acropora.Corymbose,Acropora.Digitate,Acropora.Staghorn,Acropora.Tabular,Alveopora.Branching,Alveopora.Submassive,Anacropora,Astrea,Astreopora.Encrusting,Astreopora.Hemispherical,Astreopora.Solid.plates,Astreopora.Submassive,Coeloseris,Coral.Branching,Coral.Columnar,Coral.Digitate,Coral.Encrusting,Coral.Foliose.Plate,Coral.massive,Coral.Submassive,Corals,Coscinaraea.Submassive,Ctenactis,Cycloseris,Cynarina,Cyphastrea.Encrusting,Cyphastrea.Hemispherical,Cyphastrea.Submassive,Diploastrea,Echinophyllia.Encrusting,Echinopora.branching,Echinopora.Branching,Echinopora.Encrusting,Echinopora.Plating,Echinopora.Submassive,Euphyllia,Favia.Hemispherical,Favia.Submassive,Favites.Encrusting,Favites.Hemispherical,Favites.Submassive,Fungia,Galaxea.Branching,Galaxea.Submassive,Gardineroseris,Goniastrea.Hemispherical,Goniastrea.Submassive,Goniopora,Goniopora.Columnar.or.digitate,Goniopora.Encrusting,Goniopora.Hemispherical,Goniopora.Submassive,Halomitra,Heliofungia,Heliopora,Herpolitha,Hydnophora.Branching,Hydnophora.Encrusting,Hydnophora.Submassive,Isopora.Branching,Isopora.Columnar.or.digitate,Isopora.Encrusting,Isopora.Submassive,Leptastrea.Encrusting,Leptastrea.Submassive,Leptoria,Leptoseris.Encrusting,Lobophyllia.Hemispherical,Lobophyllia.Submassive,Merulina.Submassive,Millepora.Branching,Millepora.Submassive,Montipora.Branching,Montipora.Encrusting,Montipora.Foliose.plate,Montipora.Submassive,Moseleya,Mycedium.Foliose.Plate,Oulophyllia.Hemispherical,Oxypora.Encrusting.plate,Pachyseris,Pachyseris.Encrusting,Pachyseris.Foliose,Pachyseris.Submassive,Pavona.Branching,Pavona.Encrusting.plate,Pavona.Submassive,Pectinia.Branching,Pectinia.Encrusting,Phymastrea.Submassive,Physogyra,Platygyra.Hemispherical,Platygyra.Submassive,Plesiastrea,Pocillopora.Branching,Podabacia,Porites.Branching,Porites.Encrusting,Porites.Foliose.plate,Porites.Massive,Porites.Submassive,Psammocora.Branching,Psammocora.Encrusting,Psammocora.Submassive,Sandalolitha,Seriatopora,Stony.corals,Stylocoeniella,Stylophora,Symphyllia.Hemispherical,Symphyllia.Submassive,Tubastrea,Tubipora,Turbinaria.Encrusting,Turbinaria.Foliose.plates
CS16,Pre,150.01143,-16.92251,1,Chilcott NE,0,0,0,1.9,3,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CS17,Pre,149.90476,-16.97162,1,SW South West Islet,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS171,Pre,147.0903,-15.48855,7,Bougainville Reef southwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,3.5,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS172,Pre,147.0993,-15.48253,7,Bougainville Reef W central,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,0,0,8,0,0,0,0,0.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS173,Pre,147.10716,-15.48885,4,Bougainville Reef lagoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0.5,0,0.5,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS174,Pre,147.10759,-15.48433,4,Bougainville Reef Lagoon East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS175,Pre,147.08723,-15.4908,7,Bougainville Reef point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,6,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS176,Pre,147.10453,-15.48135,7,Bougainville Reef inlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS177,Pre,146.69139,-13.98559,7,Osprey Reef Lagoon South,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS178,Pre,146.69067,-13.99381,4,Osprey South reef flat,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS179,Pre,146.67549,-13.97563,7,Osprey south bommie,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS18,Pre,149.90547,-16.96134,1,South West Islet Bommie,0,0,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,1.55,0,0.5,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.5
CS180,Pre,146.66721,-13.96688,7,Osprey S W Bommie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
CS181,Pre,146.6806,-13.96617,4,Osprey S E Lagoon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS182,Pre,146.57249,-13.89028,7,Osprey Lagoon entrance bommie,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5
CS183,Pre,146.56733,-13.88715,7,Osprey Lagoon Entrance NW Bommie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS184,Pre,146.54613,-13.80117,7,Osprey Reef North Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,2,0,0,0,0,1,0,0,0,0,0,0
CS185,Pre,144.44918,-10.44533,4,Ashmore reef lagoon South,0,0.5,0.5,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS186,Pre,144.45243,-10.43422,7,Ashmore South bommie,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS187,Pre,144.45293,-10.44136,4,Ashmore South lagoon shore,0,0,1,0,2.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0
CS188,Pre,144.43016,-10.44121,7,Ashmore Rf Lagoon Bommie SW,0,0,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS189,Pre,144.43347,-10.44697,4,Ashmore Rf Lagoon SW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
CS190,Pre,144.5215,-10.29918,4,Ashmore Reef lagoon east entrance,0,1,0,0.5,0.5,0,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS191,Pre,144.53391,-10.37448,4,Ashmore Rf Lagoon East Bommie,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0
CS193,Pre,144.69198,-10.03875,7,Boot Rf Wall,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS195,Pre,144.5954,-10.21767,7,Ashmore North East Entrance,0,0,0,1,6.55,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2
CS197,Pre,144.58955,-10.22733,7,Ashmore NE Bommie,0,0,3,0,3.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CS198,Pre,144.58684,-10.23257,4,Ashmore NE Lagoon,0,0,0,0,4,3.5,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0,0,0
CS2,Pre,152.21197,-19.28441,1,Brodie Cay NW,0,0,0,0,0.8,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS20,Pre,155.53484,-23.24725,2,Cato Bommies,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
CS200,Pre,144.45777,-10.11558,7,Ashmore Reef NW slope,0,0,0,0,2,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
CS204,Pre,144.68513,-10.10505,7,Boot Rock NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS208,Pre,144.6913,-9.98877,4,Boot Reef Lagoon E,0,9,0,6,6,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,2,0,0,0.5,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0
CS209,Pre,144.694,-9.97456,4,Boot Reef Lagoon W,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0,0
CS21,Pre,155.55157,-23.25288,2,Cato Lagoon 1,0,0,28.8,1.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
CS211,Pre,144.57626,-10.14414,4,Kate's Garden,0,0.5,0,0.55,2.6,0.5,6.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0
CS212,Pre,144.57013,-10.14587,7,Ashmore Reef NE bommy,0,1.55,0,0,4.1,1,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.05,0,6.05,1,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS22,Pre,155.55458,-23.25491,2,Cato Lagoon South,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4,0,0,0,0,0,0,0,0,0,12.5,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
CS23,Pre,155.55701,-23.24037,2,Cato North,0,0,0,0,4.5,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,1.5,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS24,Pre,155.54233,-23.24474,2,Cato Entrance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS25,Pre,155.54893,-23.244,2,Cato Passage,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CS3,Pre,152.22077,-19.28476,1,Brodie Cay SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.8,0,0,0,0.275,0,0.55,0,0,0,0,0.55,0,0,0,0.25,0.5,0,0,0.55,0,0,0,0,0,1.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0
CS31,Pre,155.47404,-22.17677,2,Bird Lagoon,0,0,0,0,0.5,0,6.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS32,Pre,155.47695,-22.17306,2,Bird Reef Hole,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0
CS33,Pre,155.45378,-22.16356,2,Bird North Bommie,0,1.5,0,5.5,6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0.5,0,0,1.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
